Description_Cluster;Count;Associated_Comment_Clusters
der;1135;und(14)|betr(12)|gt(12)|rissbreite(12)|betr gt(12)|der(11)|mm(11)|bis(10)|0(10)|rissl(9)
w;1633;der(12)|rissbreite(11)|insgesamt(10)|bis(9)|nge(9)|hi(8)|und(8)|mm(8)|zu(7)|cm(7)
nde;527;rissbreite(4)|0(4)|hi(3)|schadensausmass(3)|nge(3)|betr(3)|und(3)|1(3)|mm(3)|bei(3)
nord;31;pas(6)|constatation(6)|infrastructure(6)|de(4)|le(4)|dans(3)|entretoise(3)|photos(3)|pour(3)|cette(3)
sind;267;insgesamt(8)|rissbreite(7)|0(7)|bis(5)|nge(5)|betr(5)|cm(5)|und(5)|mm(5)|rifier(4)
netzartig;61;0(5)|betr(4)|gt(4)|rissbreite(4)|betr gt(4)|rissl(3)|nge(3)|bis(3)|und(3)|mm(3)
feine;302;der(5)|bernommen(3)|hi(3)|2024(3)|hi 2024(3)|von(3)|aus(2)|bernommen aus(2)|aus hi(2)|zu(2)
risse;960;rissbreite(23)|bis(21)|0(21)|aar(19)|mm(19)|betr(16)|gt(16)|betr gt(16)|und(13)|0 mm(12)
bis;469;insgesamt(6)|risse(5)|bis(5)|mit(5)|aar(5)|nicht(4)|quantifizierbar(4)|einem(4)|des(3)|der(3)
0;1345;de(54)|fissure(31)|constatation(30)|dans(25)|suspicion(22)|ouvrage(20)|migr(19)|migr dans(19)|des(17)|0(17)
25;13;de(2)|de la(2)|reprise(1)|la(1)|photo(1)|l(1)|hi(1)|2020(1)|reprise de(1)|la photo(1)
rissbreite;256;quantifizierbar(4)|risse(4)|nicht(3)|mit(3)|aufgrund(3)|aar(3)|setzungen(2)|erkennbar(2)|aber(2)|klar(2)
ca;1088;de(81)|non(42)|d(40)|sup(38)|0(33)|fissures(32)|e(30)|ouvrage(27)|et(26)|l(25)
80;10;
ab;951;de(22)|efflorescences(16)|surface(16)|corrosion(15)|en(13)|armatures(12)|mm(12)|d(11)|en surface(11)|fissures(11)
ok;229;insgesamt(9)|ca(4)|stk(3)|versinterungen(2)|kalkausscheidungen(2)|chen(2)|der(2)|10(2)|ca 10(2)|2(1)
boden;27;wurde(2)|durch(2)|kanalreinigungsunternehmer(2)|kontrollschacht(2)|rissbreite(2)|weggepumpt(1)|wurde durch(1)|kanalreinigungsunternehmer weggepumpt(1)|ohne(1)|bodenablauf(1)
ist;161;0(4)|der(3)|bernommen(2)|aus(2)|hi(2)|2024(2)|bernommen aus(2)|aus hi(2)|hi 2024(2)|cm(2)
ein;876;der(9)|bis(9)|und(7)|mm(7)|von(6)|durch(6)|rissbreite(6)|bernommen(5)|hi(5)|2024(5)
waagrecht;1;
in;3101;de(129)|localis(68)|d(56)|protection(44)|rag(43)|surface(43)|s(41)|application(39)|de surface(38)|fissures(36)
dwand;73;betr(2)|gt(2)|rissbreite(2)|die(2)|der(2)|inspektion(2)|verschiebung(2)|betr gt(2)|und rissbreite(2)|rissl(1)
durchgehend;38;betr(2)|gt(2)|betr gt(2)|rissl(1)|nge(1)|50(1)|cm(1)|und(1)|rissbreite(1)|bis(1)
auf mittlerer;0;
h he;0;
he der;0;
der w;0;
w nde;0;
nde nord;0;
nord west;0;
west und;0;
und s;0;
s d;0;
d sind;0;
sind netzartig;0;
netzartig feine;0;
feine risse;0;
risse bis;0;
bis 0;0;
0 25;0;
rissbreite auf;0;
auf ca;0;
ca 1;0;
1 80;1;
80 m;0;
m h;0;
he ab;0;
ab ok;0;
ok boden;0;
boden ist;0;
ist ein;0;
ein riss;0;
riss waagrecht;0;
in der;0;
der s;0;
s dwand;0;
dwand durchgehend;0;
wassersinterungen;53;teilweise(2)|auch(2)|lteren(2)|datums(2)|teilweise auch(2)|auch lteren(2)|lteren datums(2)
der fuge;0;
angerosteter;66;fundament(2)|bernommen(1)|aus(1)|hi(1)|2024(1)|bernommen aus(1)|aus hi(1)|hi 2024(1)|befund(1)|ist(1)
gussdeckelrahmen;1;
angerosteter gussdeckelrahmen;0;
kiesnester;40;
an;2009;de(107)|localis(66)|d(62)|s(36)|application(36)|rag(35)|et(35)|ages(33)|ragr ages(33)|ages localis(33)
ost;297;insgesamt(3)|fundament(2)|bindestellen(1)|welche(1)|vor(1)|dem(1)|betonieren(1)|nicht(1)|von(1)|der(1)
an der;0;
der wand;0;
wand ost;0;
im;591;de(22)|dans(10)|caisson(10)|migr dans(10)|dans caisson(10)|non(10)|migr(9)|sup(9)|d(9)|non sup(8)
oberen;62;bernommen(2)|hi(2)|2024(2)|hi 2024(2)|aus(1)|bernommen aus(1)|aus hi(1)|vermutlich(1)|lteren(1)|datums(1)
bereich;197;quantifizierbar(4)|ingesamt(3)|ca(3)|auch(3)|lteren(3)|datums(3)|lteren datums(3)|bernommen(2)|hi(2)|2024(2)
