Cluster_Representative;Count;Variations;PerMille
mauerfugen an mehreren stellen;16;mauerfugen an mehreren stellen (8) | den mauerfugen an mehreren stellen (8);0.05
in den mauerfugen an mehreren;8;in den mauerfugen an mehreren (8);0.02
spritzwasser von;8;spritzwasser von (8);0.02
de fugendichtung;14;de fugendichtung (7) | spr de fugendichtung (7);0.04
beschichtung sichtbar;30;beschichtung sichtbar (18) | in beschichtung sichtbar (12);0.09
ausgehend teils;7;ausgehend teils (7);0.02
auf derzeitige;15;auf derzeitige (15);0.04
leichte korrosion auf;8;leichte korrosion auf (8);0.02
korrosion auf derzeitige;8;korrosion auf derzeitige (8);0.02
leichte korrosion auf derzeitige;8;leichte korrosion auf derzeitige (8);0.02
korrosion auf derzeitige korrosion;16;korrosion auf derzeitige korrosion (8) | korrosion auf derzeitige korrosion ohne (8);0.05
leichte korrosion auf derzeitige korrosion;8;leichte korrosion auf derzeitige korrosion (8);0.02
die energieaufnahmekapazit;25;die energieaufnahmekapazit (11) | ist die energieaufnahmekapazit (7) | die energieaufnahmekapazit bzw (7);0.07
netz feststellbar;7;netz feststellbar (7);0.02
keine sch den;7;keine sch den (7);0.02
den am netz;14;den am netz (7) | sch den am netz (7);0.04
erdmaterial berdeckt;7;erdmaterial berdeckt (7);0.02
bei unzureichend;7;bei unzureichend (7);0.02
angezogenen drahtseilklemmen;14;angezogenen drahtseilklemmen (7) | angezogenen drahtseilklemmen der (7);0.04
drahtseilklemmen der;7;drahtseilklemmen der (7);0.02
der tragseile;14;der tragseile (7) | der tragseile ist (7);0.04
tragseile ist;14;tragseile ist (7) | tragseile ist die (7);0.04
energieaufnahmekapazit bzw;14;energieaufnahmekapazit bzw (7) | energieaufnahmekapazit bzw die (7);0.04
bzw die;7;bzw die (7);0.02
bei unzureichend angezogenen;7;bei unzureichend angezogenen (7);0.02
unzureichend angezogenen drahtseilklemmen;28;unzureichend angezogenen drahtseilklemmen (7) | bei unzureichend angezogenen drahtseilklemmen (7) | unzureichend angezogenen drahtseilklemmen der (7) | bei unzureichend angezogenen drahtseilklemmen der (7);0.08
drahtseilklemmen der tragseile;14;drahtseilklemmen der tragseile (7) | drahtseilklemmen der tragseile ist (7);0.04
des netzes nicht;14;des netzes nicht (7) | des netzes nicht gew (7);0.04
netzes nicht gew;7;netzes nicht gew (7);0.02
angezogenen drahtseilklemmen der tragseile;14;angezogenen drahtseilklemmen der tragseile (7) | angezogenen drahtseilklemmen der tragseile ist (7);0.04
der tragseile ist die;7;der tragseile ist die (7);0.02
tragseile ist die energieaufnahmekapazit;21;tragseile ist die energieaufnahmekapazit (7) | der tragseile ist die energieaufnahmekapazit (7) | tragseile ist die energieaufnahmekapazit bzw (7);0.06
ist die energieaufnahmekapazit bzw;14;ist die energieaufnahmekapazit bzw (7) | ist die energieaufnahmekapazit bzw die (7);0.04
die energieaufnahmekapazit bzw die;7;die energieaufnahmekapazit bzw die (7);0.02
energieaufnahmekapazit bzw die gebrauchstauglichkeit;21;energieaufnahmekapazit bzw die gebrauchstauglichkeit (7) | die energieaufnahmekapazit bzw die gebrauchstauglichkeit (7) | energieaufnahmekapazit bzw die gebrauchstauglichkeit des (7);0.06
bzw die gebrauchstauglichkeit des;14;bzw die gebrauchstauglichkeit des (7) | bzw die gebrauchstauglichkeit des netzes (7);0.04
netzes nicht gew hrleistet;14;netzes nicht gew hrleistet (7) | des netzes nicht gew hrleistet (7);0.04
unzureichend angezogenen drahtseilklemmen der tragseile;7;unzureichend angezogenen drahtseilklemmen der tragseile (7);0.02
drahtseilklemmen der tragseile ist die;7;drahtseilklemmen der tragseile ist die (7);0.02
die gebrauchstauglichkeit des netzes nicht;14;die gebrauchstauglichkeit des netzes nicht (7) | gebrauchstauglichkeit des netzes nicht gew (7);0.04
stark ausgebreitete;18;stark ausgebreitete (9) | und stark ausgebreitete (9);0.05
ausgebreitete vegetation;9;ausgebreitete vegetation (9);0.03
dichte und stark;9;dichte und stark (9);0.03
stark ausgebreitete vegetation;18;stark ausgebreitete vegetation (9) | und stark ausgebreitete vegetation (9);0.05
dichte und stark ausgebreitete;9;dichte und stark ausgebreitete (9);0.03
dichte und stark ausgebreitete vegetation;9;dichte und stark ausgebreitete vegetation (9);0.03
stellen abgeplatzt;10;stellen abgeplatzt (10);0.03
stark hohlt;9;stark hohlt (9);0.03
nend es;8;nend es (8);0.02
es wurden;8;es wurden (8);0.02
nicht mtliche;8;nicht mtliche (8);0.02
mtliche betroffenen;8;mtliche betroffenen (8);0.02
betroffenen stellen;8;betroffenen stellen (8);0.02
stellen freigelegt;8;stellen freigelegt (8);0.02
freigelegt vermutlich;8;freigelegt vermutlich (8);0.02
vermutlich instandgesetzte;8;vermutlich instandgesetzte (8);0.02
instandgesetzte stelle;16;instandgesetzte stelle (8) | instandgesetzte stelle mit (8);0.05
alter befestigung;24;alter befestigung (8) | mit alter befestigung (8) | alter befestigung von (8);0.07
befestigung von;16;befestigung von (8) | befestigung von gel (8);0.05
viele stellen abgeplatzt;16;viele stellen abgeplatzt (8) | viele stellen abgeplatzt oder (8);0.05
stellen abgeplatzt oder;8;stellen abgeplatzt oder (8);0.02
oder stark hohlt;8;oder stark hohlt (8);0.02
stark hohlt nend;17;stark hohlt nend (9) | stark hohlt nend es (8);0.05
nend es wurden;8;nend es wurden (8);0.02
es wurden nicht;8;es wurden nicht (8);0.02
wurden nicht mtliche;16;wurden nicht mtliche (8) | es wurden nicht mtliche (8);0.05
nicht mtliche betroffenen;8;nicht mtliche betroffenen (8);0.02
mtliche betroffenen stellen;16;mtliche betroffenen stellen (8) | nicht mtliche betroffenen stellen (8);0.05
betroffenen stellen freigelegt;8;betroffenen stellen freigelegt (8);0.02
stellen freigelegt vermutlich;8;stellen freigelegt vermutlich (8);0.02
freigelegt vermutlich instandgesetzte;24;freigelegt vermutlich instandgesetzte (8) | stellen freigelegt vermutlich instandgesetzte (8) | freigelegt vermutlich instandgesetzte stelle (8);0.07
vermutlich instandgesetzte stelle;16;vermutlich instandgesetzte stelle (8) | vermutlich instandgesetzte stelle mit (8);0.05
stelle mit alter;8;stelle mit alter (8);0.02
von gel nder;10;von gel nder (10);0.03
gel nder oder;24;gel nder oder (8) | von gel nder oder (8) | gel nder oder dgl (8);0.07
nder oder dgl;8;nder oder dgl (8);0.02
stellen abgeplatzt oder stark;24;stellen abgeplatzt oder stark (8) | viele stellen abgeplatzt oder stark (8) | stellen abgeplatzt oder stark hohlt (8);0.07
abgeplatzt oder stark hohlt;16;abgeplatzt oder stark hohlt (8) | abgeplatzt oder stark hohlt nend (8);0.05
oder stark hohlt nend;16;oder stark hohlt nend (8) | oder stark hohlt nend es (8);0.05
hohlt nend es wurden;8;hohlt nend es wurden (8);0.02
nend es wurden nicht;8;nend es wurden nicht (8);0.02
wurden nicht mtliche betroffenen;16;wurden nicht mtliche betroffenen (8) | es wurden nicht mtliche betroffenen (8);0.05
mtliche betroffenen stellen freigelegt;16;mtliche betroffenen stellen freigelegt (8) | nicht mtliche betroffenen stellen freigelegt (8);0.05
betroffenen stellen freigelegt vermutlich;16;betroffenen stellen freigelegt vermutlich (8) | mtliche betroffenen stellen freigelegt vermutlich (8);0.05
instandgesetzte stelle mit alter;8;instandgesetzte stelle mit alter (8);0.02
stelle mit alter befestigung;16;stelle mit alter befestigung (8) | stelle mit alter befestigung von (8);0.05
mit alter befestigung von;16;mit alter befestigung von (8) | mit alter befestigung von gel (8);0.05
alter befestigung von gel;16;alter befestigung von gel (8) | alter befestigung von gel nder (8);0.05
befestigung von gel nder;16;befestigung von gel nder (8) | befestigung von gel nder oder (8);0.05
stark hohlt nend es wurden;8;stark hohlt nend es wurden (8);0.02
hohlt nend es wurden nicht;8;hohlt nend es wurden nicht (8);0.02
nend es wurden nicht mtliche;8;nend es wurden nicht mtliche (8);0.02
wurden nicht mtliche betroffenen stellen;8;wurden nicht mtliche betroffenen stellen (8);0.02
betroffenen stellen freigelegt vermutlich instandgesetzte;8;betroffenen stellen freigelegt vermutlich instandgesetzte (8);0.02
stellen freigelegt vermutlich instandgesetzte stelle;8;stellen freigelegt vermutlich instandgesetzte stelle (8);0.02
freigelegt vermutlich instandgesetzte stelle mit;8;freigelegt vermutlich instandgesetzte stelle mit (8);0.02
vermutlich instandgesetzte stelle mit alter;8;vermutlich instandgesetzte stelle mit alter (8);0.02
instandgesetzte stelle mit alter befestigung;8;instandgesetzte stelle mit alter befestigung (8);0.02
von gel nder oder dgl;8;von gel nder oder dgl (8);0.02
schwindrisse in beschichtung sichtbar;11;schwindrisse in beschichtung sichtbar (11);0.03
nur hohlstellen;7;nur hohlstellen (7);0.02
hohlstellen noch;14;hohlstellen noch (7) | nur hohlstellen noch (7);0.04
korrosionsgrad kg3;20;korrosionsgrad kg3 (11) | korrosionsgrad kg3 kg4 (9);0.06
kg3 kg4;9;kg3 kg4 (9);0.03
infolge bewehrungskorrosion teilweise;14;infolge bewehrungskorrosion teilweise (7) | infolge bewehrungskorrosion teilweise nur (7);0.04
teilweise nur hohlstellen;14;teilweise nur hohlstellen (7) | teilweise nur hohlstellen noch (7);0.04
hohlstellen noch nicht;14;hohlstellen noch nicht (7) | nur hohlstellen noch nicht (7);0.04
abplatzungen infolge bewehrungskorrosion teilweise;14;abplatzungen infolge bewehrungskorrosion teilweise (7) | abplatzungen infolge bewehrungskorrosion teilweise nur (7);0.04
bewehrungskorrosion teilweise nur hohlstellen;21;bewehrungskorrosion teilweise nur hohlstellen (7) | infolge bewehrungskorrosion teilweise nur hohlstellen (7) | bewehrungskorrosion teilweise nur hohlstellen noch (7);0.06
hohlstellen noch nicht abgeplatzt;14;hohlstellen noch nicht abgeplatzt (7) | nur hohlstellen noch nicht abgeplatzt (7);0.04
teilweise nur hohlstellen noch nicht;7;teilweise nur hohlstellen noch nicht (7);0.02
nachbarunterf hrung;7;nachbarunterf hrung (7);0.02
le nouveau;9;le nouveau (9);0.03
schlecht gel;16;schlecht gel (8) | schlecht gel st (8);0.05
et environ;13;et environ (13);0.04
auf der ganzen maueroberfl;8;auf der ganzen maueroberfl (8);0.02
age ouverture;21;age ouverture (7) | en age ouverture (7) | age ouverture max (7);0.06
de type fa en;18;de type fa en (9) | de type fa en age (9);0.05
type fa en age;9;type fa en age (9);0.03
fa en age ouverture;14;fa en age ouverture (7) | fa en age ouverture max (7);0.04
en age ouverture max;7;en age ouverture max (7);0.02
type fa en age ouverture;7;type fa en age ouverture (7);0.02
surface de type fa en;8;surface de type fa en (8);0.02
kalkaussinterungen teils verpresst;14;kalkaussinterungen teils verpresst (7) | mit kalkaussinterungen teils verpresst (7);0.04
von nischen;8;von nischen (8);0.02
schwindrisse breite bis;7;schwindrisse breite bis (7);0.02
kopfplatte leicht;7;kopfplatte leicht (7);0.02
kopfplatte leicht korrodiert;7;kopfplatte leicht korrodiert (7);0.02
stk gekr mmte;8;stk gekr mmte (8);0.02
aar typisches rissbild;9;aar typisches rissbild (9);0.03
dem bauwerksalter;14;dem bauwerksalter (14);0.04
bauwerksalter entsprechend;28;bauwerksalter entsprechend (14) | dem bauwerksalter entsprechend (14);0.08
chige korrosion dem;14;chige korrosion dem (14);0.04
korrosion dem bauwerksalter;28;korrosion dem bauwerksalter (14) | chige korrosion dem bauwerksalter (14);0.08
oberfl chige korrosion dem;14;oberfl chige korrosion dem (14);0.04
korrosion dem bauwerksalter entsprechend;28;korrosion dem bauwerksalter entsprechend (14) | chige korrosion dem bauwerksalter entsprechend (14);0.08
oberfl chige korrosion dem bauwerksalter;14;oberfl chige korrosion dem bauwerksalter (14);0.04
mit einem aar;8;mit einem aar (8);0.02
risse mit einem aar;8;risse mit einem aar (8);0.02
mit einem aar typisches;8;mit einem aar typisches (8);0.02
mit einem aar typisches rissbild;8;mit einem aar typisches rissbild (8);0.02
von einbauten;17;von einbauten (9) | oft von einbauten (8);0.05
einbauten nischen;18;einbauten nischen (10) | von einbauten nischen (8);0.05
nischen ausgehend;10;nischen ausgehend (10);0.03
einbauten nischen ausgehend;16;einbauten nischen ausgehend (8) | von einbauten nischen ausgehend (8);0.05
oft von einbauten nischen;8;oft von einbauten nischen (8);0.02
oft von einbauten nischen ausgehend;8;oft von einbauten nischen ausgehend (8);0.02
de uplan 2020;11;de uplan 2020 (11);0.03
la bordure refaite;9;la bordure refaite (9);0.03
refaite lors de;9;refaite lors de (9);0.03
la bordure refaite lors;9;la bordure refaite lors (9);0.03
bordure refaite lors de;9;bordure refaite lors de (9);0.03
refaite lors de uplan 2020;9;refaite lors de uplan 2020 (9);0.03
nouveau joint;8;nouveau joint (8);0.02
dans le uplan;19;dans le uplan (19);0.06
assainissement de;18;assainissement de (18);0.05
ouvrage dans;12;ouvrage dans (12);0.04
uplan martigny;12;uplan martigny (12);0.04
martigny et;12;martigny et (12);0.04
environ 2020;24;environ 2020 (12) | et environ 2020 (12);0.07
assainissement de ouvrage;24;assainissement de ouvrage (12) | assainissement de ouvrage dans (12);0.07
martigny et environ;12;martigny et environ (12);0.04
de ouvrage dans le;12;de ouvrage dans le (12);0.04
ouvrage dans le uplan;24;ouvrage dans le uplan (12) | de ouvrage dans le uplan (12);0.07
dans le uplan martigny;24;dans le uplan martigny (12) | dans le uplan martigny et (12);0.07
le uplan martigny et;12;le uplan martigny et (12);0.04
uplan martigny et environ;36;uplan martigny et environ (12) | le uplan martigny et environ (12) | uplan martigny et environ 2020 (12);0.11
martigny et environ 2020;12;martigny et environ 2020 (12);0.04
assainissement de ouvrage dans le;12;assainissement de ouvrage dans le (12);0.04
ouvrage dans le uplan martigny;12;ouvrage dans le uplan martigny (12);0.04
chenhafte korrosion;20;chenhafte korrosion (10) | fl chenhafte korrosion (10);0.06
korrosion geringe;9;korrosion geringe (9);0.03
geringe querschnittsreduktion;18;geringe querschnittsreduktion (9) | geringe querschnittsreduktion nur (9);0.05
querschnittsreduktion nur;9;querschnittsreduktion nur (9);0.03
chenhafte korrosion geringe;18;chenhafte korrosion geringe (9) | fl chenhafte korrosion geringe (9);0.05
korrosion geringe querschnittsreduktion;18;korrosion geringe querschnittsreduktion (9) | korrosion geringe querschnittsreduktion nur (9);0.05
querschnittsreduktion nur leichte;18;querschnittsreduktion nur leichte (9) | querschnittsreduktion nur leichte besch (9);0.05
nur leichte besch;9;nur leichte besch (9);0.03
leichte besch digungen;18;leichte besch digungen (9) | nur leichte besch digungen (9);0.05
chenhafte korrosion geringe querschnittsreduktion;27;chenhafte korrosion geringe querschnittsreduktion (9) | fl chenhafte korrosion geringe querschnittsreduktion (9) | chenhafte korrosion geringe querschnittsreduktion nur (9);0.08
geringe querschnittsreduktion nur leichte;18;geringe querschnittsreduktion nur leichte (9) | geringe querschnittsreduktion nur leichte besch (9);0.05
korrosion geringe querschnittsreduktion nur leichte;9;korrosion geringe querschnittsreduktion nur leichte (9);0.03
querschnittsreduktion nur leichte besch digungen;9;querschnittsreduktion nur leichte besch digungen (9);0.03
sind angerostet;15;sind angerostet (8) | sind angerostet und (7);0.04
weisen keinen korrosionsschutz;10;weisen keinen korrosionsschutz (10);0.03
mtliche ankerk;14;mtliche ankerk (7) | mtliche ankerk pfe (7);0.04
pfe stabanker;21;pfe stabanker (7) | die stabanker (7) | pfe stabanker und (7);0.06
stabanker und;21;stabanker und (14) | die stabanker und (7);0.06
und flanschmutter;21;und flanschmutter (7) | und flanschmuttern (7) | und flanschmutter der (7);0.06
flanschmutter der;7;flanschmutter der (7);0.02
der grundplattenfundation;14;der grundplattenfundation (7) | der grundplattenfundation sind (7);0.04
grundplattenfundation sind;7;grundplattenfundation sind (7);0.02
flanschmuttern weisen;14;flanschmuttern weisen (7) | und flanschmuttern weisen (7);0.04
ankerk pfe stabanker;14;ankerk pfe stabanker (7) | ankerk pfe stabanker und (7);0.04
stabanker und flanschmutter;35;stabanker und flanschmutter (7) | stabanker und flanschmuttern (7) | pfe stabanker und flanschmutter (7) | stabanker und flanschmutter der (7) | die stabanker und flanschmuttern (7);0.1
flanschmutter der grundplattenfundation;21;flanschmutter der grundplattenfundation (7) | und flanschmutter der grundplattenfundation (7) | flanschmutter der grundplattenfundation sind (7);0.06
grundplattenfundation sind angerostet;21;grundplattenfundation sind angerostet (7) | der grundplattenfundation sind angerostet (7) | grundplattenfundation sind angerostet und (7);0.06
weisen eine sehr;14;weisen eine sehr (7) | und weisen eine sehr (7);0.04
eine sehr leichte;7;eine sehr leichte (7);0.02
querschnittsverlust die stabanker;21;querschnittsverlust die stabanker (7) | ohne querschnittsverlust die stabanker (7) | querschnittsverlust die stabanker und (7);0.06
flanschmuttern weisen keinen;14;flanschmuttern weisen keinen (7) | und flanschmuttern weisen keinen (7);0.04
keinen korrosionsschutz verzinkung;21;keinen korrosionsschutz verzinkung (7) | weisen keinen korrosionsschutz verzinkung (7) | keinen korrosionsschutz verzinkung auf (7);0.06
verzinkung auf derzeitige;7;verzinkung auf derzeitige (7);0.02
mtliche ankerk pfe stabanker;14;mtliche ankerk pfe stabanker (7) | mtliche ankerk pfe stabanker und (7);0.04
sind angerostet und weisen;7;sind angerostet und weisen (7);0.02
weisen eine sehr leichte;7;weisen eine sehr leichte (7);0.02
eine sehr leichte korrosion;7;eine sehr leichte korrosion (7);0.02
stabanker und flanschmuttern weisen;7;stabanker und flanschmuttern weisen (7);0.02
flanschmuttern weisen keinen korrosionsschutz;7;flanschmuttern weisen keinen korrosionsschutz (7);0.02
korrosionsschutz verzinkung auf derzeitige;7;korrosionsschutz verzinkung auf derzeitige (7);0.02
verzinkung auf derzeitige korrosion;7;verzinkung auf derzeitige korrosion (7);0.02
